Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Any_Disability,Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned,Agriculture_Income,Urban_Rural,First_Generation_Learner,Reimbursement_%
877844,1,Both Alive,Own,5498,Foreign,Permanent,21316,43880,No,4,13196,DayScholar,48068,4.88,46996,Urban,yes,0
480047,1,Single Mother,Own,76118,Agriculture,Contract,84698,8320,No,0,1559648,DayScholar,28072,6.31,309091,Urban,no,50
659347,1,Both Alive,Rent,50098,Agriculture,Self-employed,15960,49589,Yes,1,1570767,Hostel,35561,0.8,421172,Urban,yes,100
58871,3,Both Alive,Own,64386,Daily Wage,Temporary,30791,76276,No,3,1284585,Hostel,2892,4.88,313174,Rural,no,100
939903,3,Single Father,Rent,9569,Agriculture,Self-employed,25216,35897,Yes,3,1945573,DayScholar,33966,1.55,451813,Urban,no,100
128391,2,Single Mother,Rent,56882,Daily Wage,Permanent,163539,58565,No,1,1921357,DayScholar,24395,3.7,304587,Urban,no,50
439430,2,Single Father,Own,70393,Unemployed,Contract,64427,30930,Yes,3,861271,DayScholar,18756,3.29,128344,Urban,yes,100
610704,2,Single Mother,Own,340,Private Job,Contract,112470,57233,No,3,1493708,DayScholar,22174,4.24,229685,Rural,yes,50
856703,4,Both Alive,Own,43949,Foreign,Temporary,193119,82821,Yes,4,1591436,DayScholar,34651,5.72,327608,Urban,no,100
830496,1,Both Alive,Rent,82302,Business,Contract,73290,14380,Yes,4,516528,Hostel,797,9.03,128019,Urban,no,100
256687,1,Single Mother,Own,62443,Private Job,Temporary,47014,76896,Yes,1,1480017,DayScholar,8209,3.94,135024,Rural,yes,100
725451,2,Single Father,Rent,91668,Foreign,Permanent,135150,70934,Yes,0,580141,DayScholar,41003,9.81,450096,Rural,no,100
107450,1,Single Father,Own,74027,Daily Wage,Contract,50519,55830,Yes,3,697635,DayScholar,49306,7.59,183273,Rural,yes,100
171890,2,Single Father,Own,138,Foreign,Temporary,4042,5529,No,0,868811,Hostel,21346,5.11,120454,Urban,yes,50
438741,4,Single Father,Rent,358,Unemployed,Self-employed,49052,94598,No,1,1977185,Hostel,48025,6.44,124444,Urban,yes,50
281974,4,Both Alive,Rent,75250,Daily Wage,Temporary,14389,82987,Yes,1,1174650,DayScholar,28024,1.02,374319,Urban,no,100
934933,3,Both Alive,Rent,85376,Private Job,Contract,95961,49178,No,4,1511688,DayScholar,29414,8.45,304604,Rural,no,0
400109,4,Both Alive,Rent,99931,Govt Job,Permanent,68111,6937,No,3,577497,Hostel,40818,5.82,153868,Urban,yes,50
116381,2,Both Alive,Rent,30654,Govt Job,Contract,105058,39886,No,2,1548967,Hostel,5947,9.86,162818,Rural,no,50
473125,4,Both Alive,Rent,25879,Foreign,Contract,93715,49699,No,1,969991,Hostel,9617,6.36,480001,Rural,no,50
571621,3,Single Father,Rent,81532,Govt Job,Temporary,50733,76396,No,3,1469843,Hostel,20704,8.34,15,Urban,yes,0
134508,1,Single Father,Rent,55778,Daily Wage,Self-employed,34754,90678,No,0,1677108,DayScholar,28702,8.0,311901,Urban,yes,50
729650,2,Single Father,Own,37772,Agriculture,Contract,149696,25279,Yes,4,766355,Hostel,1892,3.45,157029,Urban,no,100
862645,1,Single Father,Rent,58478,Daily Wage,Self-employed,85886,38106,No,0,1312092,DayScholar,29754,2.6,81541,Rural,yes,0
399111,3,Both Alive,Rent,64353,Agriculture,Temporary,157753,79737,No,1,1791336,DayScholar,3424,4.3,21292,Rural,no,50
150810,3,Both Alive,Own,26762,Private Job,Self-employed,89524,40544,No,1,634588,Hostel,42218,4.67,384838,Urban,yes,50
292890,3,Both Alive,Rent,13283,Business,Temporary,81006,8997,Yes,0,1780897,Hostel,13418,2.4,162948,Rural,yes,100
573665,1,Single Mother,Own,63922,Agriculture,Permanent,24704,85711,No,1,1511948,Hostel,29886,8.95,191799,Urban,no,0
965908,1,Single Father,Own,39420,Govt Job,Self-employed,94913,40860,No,3,1435402,Hostel,34783,5.43,47046,Urban,no,0
840477,1,Single Father,Rent,55568,Daily Wage,Self-employed,94108,3225,No,1,67175,DayScholar,23057,9.78,14817,Urban,no,0
360032,1,Both Alive,Own,85090,Private Job,Permanent,7493,59470,Yes,4,1982929,DayScholar,4833,8.1,484222,Rural,no,100
957294,3,Single Father,Rent,20219,Govt Job,Self-employed,69639,63656,No,3,1160127,DayScholar,9894,5.56,9759,Rural,no,0
369599,3,Single Father,Own,57169,Private Job,Permanent,54383,51880,Yes,2,815408,Hostel,48710,9.47,179504,Urban,yes,100
660960,2,Both Alive,Own,74965,Business,Contract,134066,61078,No,1,402761,DayScholar,41833,5.05,268556,Urban,yes,50
750020,2,Single Mother,Own,46840,Unemployed,Temporary,47234,88646,Yes,1,1944802,Hostel,565,8.87,450973,Rural,no,100
879611,1,Single Mother,Rent,44695,Daily Wage,Permanent,178363,76290,Yes,4,1829848,DayScholar,40180,3.58,282648,Urban,yes,100
171836,4,Single Mother,Rent,84754,Foreign,Self-employed,128674,56633,Yes,4,1569067,Hostel,18402,3.79,370644,Rural,no,100
729903,4,Both Alive,Own,77988,Daily Wage,Permanent,5594,26655,No,0,591154,DayScholar,42845,4.18,270651,Urban,yes,0
45714,3,Single Father,Own,58342,Business,Self-employed,7371,43601,Yes,0,127752,DayScholar,10315,5.47,21050,Rural,yes,100
974339,3,Both Alive,Rent,18951,Daily Wage,Contract,47315,3114,Yes,0,1892086,Hostel,12834,5.53,398036,Urban,no,100
627234,3,Both Alive,Rent,1307,Foreign,Permanent,127251,26502,Yes,4,263564,DayScholar,2314,4.96,401051,Rural,no,100
896048,2,Single Father,Own,80388,Agriculture,Contract,79526,49768,Yes,0,303257,DayScholar,37180,3.06,486383,Urban,no,100
630271,2,Single Mother,Own,90768,Private Job,Temporary,147698,48128,No,0,1829456,Hostel,3883,9.27,100153,Rural,yes,50
466960,3,Single Mother,Rent,35428,Foreign,Self-employed,86005,20028,No,2,1598265,Hostel,44152,5.89,275731,Rural,no,50
711851,3,Both Alive,Rent,92021,Govt Job,Self-employed,105573,55565,No,0,1988964,Hostel,10051,4.08,231329,Rural,no,50
124123,3,Single Mother,Rent,75774,Business,Contract,138202,83123,No,1,1274008,Hostel,40984,6.51,57732,Rural,no,50
936093,4,Both Alive,Rent,38975,Agriculture,Temporary,137900,35333,Yes,4,1489355,Hostel,11695,7.68,51921,Urban,no,100
305628,2,Both Alive,Rent,1140,Govt Job,Permanent,57514,3174,No,3,175486,DayScholar,23123,9.61,438715,Rural,no,50
82989,4,Single Father,Own,24842,Govt Job,Permanent,183736,35398,Yes,2,681502,Hostel,7902,5.0,117734,Rural,no,100
298356,4,Single Father,Rent,26421,Business,Self-employed,148955,35929,No,4,1040114,DayScholar,45955,1.12,392248,Urban,yes,50
829957,3,Single Father,Own,1708,Agriculture,Contract,174131,4321,No,4,780488,DayScholar,17573,4.41,137912,Rural,yes,50
178274,3,Both Alive,Rent,3630,Unemployed,Contract,174004,95971,No,1,1392212,Hostel,29374,4.79,496586,Urban,yes,50
687995,1,Single Father,Own,19595,Govt Job,Permanent,192341,55421,Yes,0,1269112,DayScholar,12288,8.97,458293,Rural,yes,100
325352,1,Single Mother,Rent,76021,Govt Job,Temporary,75986,72635,No,1,1789193,DayScholar,46978,3.95,31440,Rural,no,50
820260,4,Single Mother,Rent,28308,Agriculture,Temporary,85959,23760,No,0,1135269,Hostel,6884,9.53,35183,Rural,no,0
411927,2,Both Alive,Own,44789,Daily Wage,Permanent,2035,11360,No,0,1093711,DayScholar,10559,4.85,358316,Rural,yes,50
789852,3,Both Alive,Own,55690,Govt Job,Permanent,109767,10313,Yes,4,475448,Hostel,18125,9.74,133461,Rural,yes,100
883184,3,Single Father,Rent,26086,Private Job,Contract,171817,85998,No,0,1872870,Hostel,3688,0.08,448292,Rural,yes,50
131373,4,Both Alive,Rent,16859,Agriculture,Temporary,17241,5801,No,2,146262,Hostel,23869,8.99,114515,Urban,no,50
438452,1,Both Alive,Rent,7684,Govt Job,Permanent,52975,14130,Yes,2,1653063,DayScholar,46882,9.31,385327,Urban,no,100
115294,2,Single Mother,Rent,91088,Business,Permanent,154226,14271,Yes,2,1950374,DayScholar,38137,9.61,328443,Rural,no,100
459451,1,Single Mother,Rent,1207,Foreign,Self-employed,156697,16075,No,4,14331,DayScholar,44706,0.13,220533,Rural,yes,50
971744,1,Single Father,Own,46099,Private Job,Permanent,176022,18984,No,1,1575976,DayScholar,4023,1.72,485301,Urban,yes,50
648307,1,Both Alive,Own,67496,Foreign,Permanent,56396,88095,No,3,1241834,Hostel,48750,6.54,115503,Urban,yes,0
65726,1,Both Alive,Rent,66093,Foreign,Temporary,118920,60942,Yes,0,1889656,DayScholar,17100,0.25,39023,Rural,yes,100
141564,3,Single Mother,Own,29689,Govt Job,Contract,144403,12861,Yes,3,1349269,Hostel,36735,0.64,181101,Rural,yes,100
377812,3,Both Alive,Own,48651,Private Job,Temporary,194999,98970,Yes,1,222854,DayScholar,7423,2.21,302085,Rural,no,100
268246,1,Single Mother,Own,13893,Private Job,Contract,86226,82203,No,1,560049,DayScholar,39218,5.12,482209,Rural,no,50
705696,2,Single Father,Rent,97808,Daily Wage,Self-employed,84719,71376,Yes,4,799694,DayScholar,12213,5.46,447166,Rural,no,100
118015,4,Single Mother,Own,66418,Foreign,Permanent,63014,61247,No,2,1563416,DayScholar,35983,0.34,383821,Rural,no,50
740674,2,Both Alive,Rent,60011,Private Job,Self-employed,39346,69101,Yes,2,978763,DayScholar,33158,1.7,218031,Urban,no,100
254079,2,Single Father,Own,38635,Daily Wage,Contract,70411,20977,Yes,1,869004,Hostel,28460,5.0,76054,Rural,yes,100
550929,2,Single Mother,Rent,56115,Agriculture,Temporary,185550,50617,Yes,4,790080,DayScholar,31017,5.94,327507,Rural,no,100
689944,1,Single Mother,Own,95071,Daily Wage,Temporary,143326,57473,No,4,194544,DayScholar,33000,1.48,61742,Urban,yes,50
688105,3,Single Father,Rent,78405,Business,Self-employed,186806,86654,No,0,360002,DayScholar,26502,3.99,491112,Urban,no,50
513758,2,Single Father,Rent,72702,Unemployed,Contract,159693,88177,No,2,1143243,DayScholar,30990,9.04,45215,Urban,yes,50
940597,1,Single Mother,Own,78518,Govt Job,Self-employed,76441,72902,No,1,14677,Hostel,19515,9.99,310001,Urban,yes,0
983609,2,Both Alive,Rent,72805,Agriculture,Self-employed,46121,92172,Yes,3,214580,DayScholar,29991,9.87,317620,Rural,yes,100
365890,2,Single Mother,Rent,58954,Unemployed,Permanent,60197,15630,No,2,140334,Hostel,7634,8.82,159245,Urban,yes,50
445101,1,Single Father,Rent,28064,Unemployed,Self-employed,84577,20056,Yes,0,1532657,DayScholar,11498,3.95,402611,Urban,yes,100
36631,3,Single Mother,Rent,79063,Agriculture,Permanent,94634,7382,No,4,1554360,Hostel,10916,6.87,321912,Rural,yes,100
766577,3,Single Father,Rent,2454,Business,Permanent,173503,55739,No,1,373581,Hostel,29377,4.17,241443,Urban,no,50
72991,4,Single Father,Rent,20878,Daily Wage,Temporary,100211,81685,Yes,2,978121,Hostel,33001,6.49,477959,Urban,yes,100
4014,1,Both Alive,Rent,51098,Govt Job,Permanent,135909,48639,Yes,3,421811,Hostel,1391,3.09,103591,Rural,yes,100
273237,4,Single Father,Rent,62154,Daily Wage,Permanent,180066,59838,No,0,1539251,Hostel,43852,6.06,249045,Rural,no,50
18070,4,Single Father,Own,12991,Private Job,Temporary,143687,46041,No,0,1643012,DayScholar,42215,5.24,46229,Rural,yes,100
822209,4,Both Alive,Own,68344,Daily Wage,Self-employed,1466,992,Yes,2,1891934,Hostel,14184,0.24,419855,Rural,no,100
56958,3,Single Father,Rent,36593,Agriculture,Contract,30771,72394,Yes,3,609559,DayScholar,27114,7.91,373850,Rural,no,100
82074,1,Both Alive,Rent,36304,Govt Job,Contract,83886,67657,Yes,0,568745,Hostel,11882,0.12,62583,Rural,yes,100
535017,4,Both Alive,Own,30386,Daily Wage,Contract,65911,27160,Yes,1,576819,Hostel,47606,2.93,255931,Rural,yes,100
755073,1,Single Father,Own,55220,Govt Job,Self-employed,151818,45156,Yes,0,214335,DayScholar,17273,0.06,159996,Urban,no,100
176089,1,Single Father,Own,69338,Govt Job,Permanent,88422,51375,No,3,476516,Hostel,40670,3.76,126011,Urban,yes,50
197392,3,Single Mother,Rent,94289,Private Job,Contract,191811,86442,No,4,1710891,Hostel,45647,0.63,466185,Rural,no,50
158823,4,Both Alive,Own,21083,Private Job,Self-employed,73369,19572,No,4,204243,Hostel,17129,9.14,292248,Urban,yes,50
630152,4,Single Mother,Rent,18354,Agriculture,Permanent,1893,4136,No,2,1571021,Hostel,42679,4.16,240660,Rural,no,0
393002,1,Single Father,Rent,22190,Business,Temporary,30573,61868,Yes,3,267231,DayScholar,427,4.59,299738,Urban,yes,100
733429,2,Single Mother,Own,6142,Unemployed,Contract,96907,82263,Yes,0,783589,Hostel,31416,3.5,265808,Rural,yes,100
498863,3,Both Alive,Rent,28398,Govt Job,Permanent,171946,32167,Yes,0,1628635,Hostel,731,6.28,272672,Urban,no,100
367654,3,Single Mother,Rent,51971,Business,Contract,99956,15479,No,4,627423,DayScholar,799,7.84,159262,Rural,no,50
579036,3,Both Alive,Rent,41862,Unemployed,Contract,118580,31376,Yes,4,600642,DayScholar,28873,6.48,197105,Urban,no,100
530089,3,Single Father,Rent,98668,Unemployed,Contract,164439,4823,Yes,1,647031,Hostel,7025,7.48,454377,Rural,no,100
150262,4,Single Father,Own,53410,Agriculture,Permanent,152271,70456,No,4,778741,Hostel,14481,9.06,204249,Urban,yes,50
442905,4,Both Alive,Own,19503,Unemployed,Self-employed,91404,19585,No,1,1616756,DayScholar,25411,8.64,128404,Urban,no,50
235362,2,Single Father,Rent,48456,Unemployed,Permanent,57724,17272,No,0,1260844,Hostel,31358,6.74,463395,Rural,no,50
444209,3,Single Father,Rent,82035,Govt Job,Contract,86133,26619,Yes,1,926094,DayScholar,40392,2.15,201664,Urban,yes,100
553880,3,Single Father,Own,8016,Govt Job,Permanent,167477,75069,Yes,1,105057,Hostel,14961,6.38,295043,Urban,yes,100
797079,1,Single Father,Rent,2384,Foreign,Temporary,15989,39895,No,2,1096985,DayScholar,21767,5.06,333123,Urban,no,0
664076,4,Both Alive,Own,62320,Business,Self-employed,28931,3720,No,4,256889,DayScholar,41000,7.17,17241,Urban,yes,0
219963,3,Single Mother,Rent,15072,Daily Wage,Permanent,9290,19267,Yes,1,437686,DayScholar,36135,8.33,308355,Urban,no,100
480761,2,Single Mother,Rent,80018,Private Job,Temporary,169439,15696,No,0,159457,Hostel,21392,7.43,63472,Rural,yes,50
248710,2,Single Father,Own,40510,Daily Wage,Self-employed,121136,29968,Yes,3,1475088,Hostel,13262,8.47,205320,Rural,no,100
220984,4,Single Mother,Own,48933,Business,Temporary,79878,53364,No,1,1963574,Hostel,5229,0.64,466973,Urban,yes,50
897059,2,Single Mother,Own,21826,Private Job,Self-employed,90477,23345,No,4,333860,Hostel,23772,0.32,31346,Rural,no,0
856748,2,Single Father,Own,68026,Daily Wage,Permanent,126299,51567,No,2,885584,DayScholar,18799,2.59,81196,Urban,no,50
782355,4,Single Father,Rent,25518,Foreign,Temporary,161205,91229,Yes,0,1084958,DayScholar,46515,9.01,366595,Rural,yes,100
264512,3,Single Mother,Own,24045,Private Job,Contract,105686,61607,Yes,2,86675,DayScholar,23555,8.24,208196,Urban,yes,100
601863,3,Both Alive,Rent,50876,Govt Job,Temporary,158124,19385,No,3,1025100,Hostel,26616,6.83,365052,Urban,no,50
268799,2,Single Father,Own,92446,Daily Wage,Self-employed,107286,83658,Yes,1,556707,Hostel,19333,7.01,435436,Urban,no,100
237549,2,Both Alive,Own,90102,Private Job,Permanent,40475,66900,No,1,1020825,Hostel,4261,7.27,149014,Urban,yes,50
594319,3,Single Mother,Rent,51919,Foreign,Self-employed,82666,68244,No,4,91238,DayScholar,3466,9.43,311311,Rural,yes,0
993933,4,Single Father,Own,99441,Unemployed,Temporary,96622,65425,Yes,1,1052536,Hostel,46553,8.32,298517,Rural,yes,100
484299,2,Both Alive,Own,27103,Private Job,Temporary,188728,78518,Yes,0,1284401,Hostel,3088,6.23,329287,Rural,yes,100
612210,1,Single Father,Own,36188,Private Job,Contract,135705,82844,Yes,3,1753227,DayScholar,45783,6.66,120623,Urban,yes,100
448982,4,Single Mother,Own,5845,Foreign,Permanent,148376,32919,Yes,2,284541,DayScholar,1115,2.14,372157,Rural,yes,100
124046,2,Both Alive,Rent,86698,Unemployed,Permanent,107573,90697,No,3,1378608,Hostel,4578,6.57,2016,Rural,yes,50
406619,2,Single Mother,Rent,36674,Daily Wage,Temporary,46546,57196,Yes,1,1093745,DayScholar,2590,4.25,331254,Urban,yes,100
32097,1,Single Mother,Own,19337,Agriculture,Permanent,7008,79401,Yes,2,596470,Hostel,7372,1.53,439525,Urban,yes,100
996161,1,Single Father,Own,22313,Daily Wage,Contract,48291,495,No,4,888908,DayScholar,3573,8.06,7274,Urban,no,0
666326,3,Both Alive,Own,26943,Unemployed,Self-employed,158477,44755,No,3,1887257,DayScholar,2978,5.1,15748,Rural,yes,50
649150,4,Single Mother,Rent,77949,Business,Permanent,36386,67684,No,2,1217989,DayScholar,43407,9.77,413391,Rural,yes,0
230229,4,Single Mother,Rent,276,Foreign,Temporary,90909,33324,No,2,1920611,Hostel,9422,2.82,497926,Urban,no,50
118834,3,Both Alive,Rent,51151,Daily Wage,Self-employed,151899,78929,Yes,2,187216,Hostel,43626,4.81,11826,Rural,no,100
93848,4,Single Mother,Rent,17611,Private Job,Self-employed,33040,1552,Yes,0,464988,Hostel,23697,4.48,345152,Urban,no,100
52921,4,Single Mother,Own,11944,Foreign,Contract,60354,51272,No,3,89360,DayScholar,30820,1.21,129288,Rural,no,100
705086,4,Both Alive,Own,52887,Govt Job,Temporary,78543,35853,No,2,1596308,DayScholar,37743,4.26,427345,Urban,no,0
650429,4,Both Alive,Own,81442,Unemployed,Permanent,18157,32924,Yes,3,448863,DayScholar,4925,2.88,201081,Rural,no,100
705660,4,Both Alive,Rent,49847,Daily Wage,Temporary,35315,74462,Yes,2,133662,DayScholar,29430,1.6,251054,Rural,yes,100
284821,1,Both Alive,Own,58653,Foreign,Self-employed,35932,96387,Yes,4,1828352,Hostel,28834,2.82,416706,Rural,no,100
55609,4,Single Father,Rent,86072,Daily Wage,Temporary,152236,23889,Yes,4,1157419,Hostel,24435,2.33,367767,Urban,no,100
227897,1,Both Alive,Rent,56622,Foreign,Permanent,145486,54675,Yes,4,807406,Hostel,21676,7.34,172507,Urban,no,100
974165,4,Single Father,Own,27810,Private Job,Permanent,145399,73591,No,1,646438,DayScholar,43554,0.31,206089,Urban,yes,50
31024,3,Single Father,Own,77842,Govt Job,Contract,113880,70190,No,2,1490175,DayScholar,19814,6.17,401736,Rural,no,100
70313,2,Single Father,Own,10503,Govt Job,Permanent,132018,22634,No,1,1839484,Hostel,14716,7.61,223023,Urban,yes,100
389957,1,Single Mother,Rent,84761,Business,Permanent,14693,32363,No,3,1677690,DayScholar,27528,4.81,345250,Rural,no,50
184078,4,Single Father,Rent,36976,Foreign,Temporary,27241,63752,Yes,1,484768,Hostel,1995,9.32,192949,Urban,no,100
357429,3,Single Father,Own,11590,Daily Wage,Temporary,115194,77004,No,3,1942656,DayScholar,22414,7.08,413014,Urban,yes,50
932842,2,Single Mother,Own,10886,Govt Job,Self-employed,95790,56398,Yes,3,235121,DayScholar,13844,7.48,316782,Rural,yes,100
461243,1,Single Mother,Rent,12866,Unemployed,Contract,146612,98458,Yes,3,1979036,Hostel,36659,1.97,69072,Rural,no,100
113632,2,Single Mother,Own,66624,Govt Job,Temporary,72255,40718,Yes,1,935581,Hostel,15522,7.77,67309,Urban,yes,100
997639,3,Both Alive,Rent,68899,Agriculture,Permanent,195829,82916,Yes,2,832922,DayScholar,39913,8.32,160966,Urban,yes,100
937012,1,Single Mother,Rent,32792,Agriculture,Self-employed,172275,26870,Yes,1,1824299,Hostel,8498,3.61,456179,Rural,no,100
251451,2,Single Mother,Own,9764,Govt Job,Temporary,156153,37394,Yes,2,659001,Hostel,42322,2.13,386868,Rural,no,100
3051,4,Single Father,Own,86156,Foreign,Contract,192933,52057,Yes,2,1114188,DayScholar,2102,3.85,185639,Urban,no,100
704107,1,Single Mother,Own,42727,Business,Contract,11350,79795,No,3,634762,DayScholar,35798,7.4,389987,Rural,yes,0
376836,2,Both Alive,Own,78471,Govt Job,Self-employed,186584,80409,Yes,1,1356879,DayScholar,8524,4.18,35326,Urban,no,100
611523,3,Single Mother,Rent,8068,Private Job,Self-employed,56809,13016,No,2,1622574,Hostel,30846,7.37,186131,Urban,no,0
971525,3,Both Alive,Rent,7295,Daily Wage,Self-employed,101894,42137,No,4,1011040,DayScholar,8107,1.14,267223,Urban,yes,50
721772,1,Single Mother,Rent,41160,Business,Self-employed,97557,153,Yes,2,941310,DayScholar,49394,8.06,419054,Rural,yes,100
189407,2,Single Mother,Own,11390,Private Job,Self-employed,173904,7853,Yes,4,1695960,DayScholar,18268,2.53,383556,Urban,no,100
449395,1,Single Mother,Rent,20131,Business,Permanent,159441,12379,No,1,219417,DayScholar,47703,2.49,87340,Urban,yes,50
949597,1,Single Mother,Own,94754,Private Job,Permanent,31728,15792,No,1,221463,DayScholar,24399,5.9,440325,Rural,no,0
462894,2,Both Alive,Own,75969,Daily Wage,Temporary,17576,38367,No,1,903844,Hostel,9624,0.7,347355,Rural,yes,50
211810,2,Both Alive,Own,15038,Daily Wage,Contract,160073,18100,No,2,1677788,DayScholar,27126,0.26,418810,Rural,no,50
957238,4,Single Father,Own,52327,Agriculture,Permanent,83384,63456,Yes,0,278602,DayScholar,23131,2.61,304893,Urban,yes,100
727975,2,Both Alive,Own,93718,Foreign,Permanent,390,11049,Yes,2,1976001,Hostel,48591,5.38,167364,Rural,yes,100
73523,3,Single Mother,Own,77064,Private Job,Permanent,45436,786,Yes,2,307668,DayScholar,20714,9.08,118192,Rural,yes,100
760463,1,Single Father,Rent,21281,Agriculture,Temporary,11569,69904,No,3,672213,DayScholar,40631,8.46,336678,Urban,yes,0
94476,1,Single Father,Own,54189,Private Job,Self-employed,144101,30699,Yes,3,1361197,Hostel,35877,4.9,251749,Urban,no,100
233841,3,Single Father,Rent,48511,Agriculture,Temporary,22490,47691,No,2,1352942,DayScholar,18570,0.37,341377,Urban,yes,50
803451,2,Single Mother,Rent,8605,Daily Wage,Contract,45875,37040,Yes,4,552608,Hostel,12482,5.35,51818,Urban,no,100
870045,3,Both Alive,Own,1381,Business,Contract,5867,92990,No,3,104154,DayScholar,34318,7.05,374054,Rural,yes,0
222866,3,Single Mother,Own,66634,Unemployed,Contract,80820,57986,Yes,2,586531,Hostel,33414,3.39,13429,Urban,yes,100
86672,4,Single Father,Own,19810,Agriculture,Contract,99515,38762,Yes,0,1759551,Hostel,21040,1.11,57748,Rural,no,100
598135,3,Single Mother,Rent,24322,Private Job,Permanent,9121,23600,No,4,420568,DayScholar,13407,2.79,48807,Urban,yes,0
344894,1,Single Mother,Own,41869,Private Job,Permanent,1539,94774,No,1,1655697,Hostel,45468,7.72,269284,Urban,yes,50
734994,3,Both Alive,Rent,32955,Unemployed,Temporary,148099,90777,No,2,103476,Hostel,33305,3.51,325370,Rural,no,50
28251,1,Both Alive,Own,61388,Foreign,Self-employed,127402,19810,No,2,124560,DayScholar,14166,8.12,238161,Rural,yes,100
627769,1,Single Father,Own,10207,Daily Wage,Contract,74229,85703,No,4,930707,DayScholar,6572,3.2,408117,Rural,no,0
374710,1,Single Mother,Rent,87329,Private Job,Temporary,139993,87347,Yes,3,1359987,Hostel,33002,1.64,350959,Urban,yes,100
550233,2,Single Mother,Rent,67628,Govt Job,Permanent,50435,57204,No,3,1620805,DayScholar,26972,4.36,290669,Urban,yes,0
877284,4,Both Alive,Own,28220,Business,Permanent,141382,20085,Yes,3,879241,Hostel,46835,4.52,282635,Rural,yes,100
32217,1,Single Mother,Rent,84050,Agriculture,Self-employed,63965,46854,Yes,1,559656,Hostel,42464,0.16,199888,Rural,no,100
8308,1,Single Mother,Rent,74085,Foreign,Self-employed,111048,74797,Yes,4,1922194,DayScholar,46918,1.17,166052,Urban,yes,100
268093,2,Single Mother,Rent,22031,Unemployed,Self-employed,96444,84269,Yes,4,1351704,DayScholar,22923,1.85,226597,Rural,yes,100
183062,1,Both Alive,Rent,70721,Business,Temporary,69922,39779,Yes,3,1493733,Hostel,1909,1.14,8078,Rural,yes,100
394366,3,Single Father,Rent,80807,Daily Wage,Permanent,97799,56207,No,3,1262566,DayScholar,44918,3.42,91654,Urban,yes,50
744840,3,Single Father,Own,71312,Foreign,Permanent,93948,94615,No,0,1504475,DayScholar,32848,9.65,129101,Rural,yes,0
100235,4,Single Mother,Own,59766,Agriculture,Self-employed,143314,33980,Yes,0,1316057,Hostel,2083,5.09,482737,Urban,yes,100
74740,1,Single Father,Rent,12449,Agriculture,Contract,8947,56117,Yes,2,10801,Hostel,46146,6.28,441920,Urban,yes,100
378496,2,Both Alive,Own,89833,Unemployed,Self-employed,192888,14141,No,2,640826,Hostel,47985,3.56,16997,Urban,yes,50
853049,3,Both Alive,Own,56699,Govt Job,Temporary,48785,9344,No,4,908633,Hostel,17140,3.23,473026,Rural,yes,0
750201,2,Single Father,Rent,81253,Unemployed,Self-employed,119963,15896,Yes,4,1892973,Hostel,2670,0.23,131940,Rural,no,100
803328,2,Single Father,Own,46092,Daily Wage,Self-employed,507,89353,No,1,619557,Hostel,36519,5.0,419614,Rural,yes,0
917230,3,Single Mother,Rent,63671,Foreign,Temporary,198044,29813,No,1,1836629,DayScholar,44512,4.84,212650,Rural,no,50
177247,2,Single Father,Rent,10350,Foreign,Self-employed,158223,84431,No,0,937473,Hostel,38029,1.58,359500,Urban,no,50
663165,3,Single Mother,Own,96158,Private Job,Permanent,11618,65679,Yes,2,308113,DayScholar,14691,7.64,375855,Urban,no,100
529525,2,Single Mother,Rent,68487,Govt Job,Contract,74286,10681,No,0,1534061,DayScholar,39620,4.93,283390,Rural,yes,0
20056,3,Both Alive,Rent,17622,Govt Job,Self-employed,16122,72903,Yes,0,101679,Hostel,34262,3.39,151633,Rural,no,100
176615,1,Both Alive,Rent,70263,Foreign,Temporary,138426,3228,Yes,2,691065,DayScholar,25595,1.47,409470,Rural,no,100
187628,4,Both Alive,Rent,53117,Foreign,Contract,109598,4582,Yes,1,1774239,Hostel,33440,5.52,34512,Rural,no,100
638836,3,Both Alive,Rent,58394,Business,Temporary,162051,78683,Yes,2,1349083,DayScholar,8630,7.53,493776,Urban,yes,100
373632,3,Single Father,Own,23782,Business,Contract,86436,11397,Yes,3,1220368,Hostel,31250,2.82,482748,Rural,no,100
134415,4,Both Alive,Own,28454,Business,Contract,183846,38799,No,3,937476,Hostel,28798,2.19,225226,Urban,yes,50
406716,3,Single Father,Rent,67904,Govt Job,Self-employed,136109,37011,Yes,3,1616215,Hostel,43036,5.22,208467,Rural,no,100
446438,3,Both Alive,Rent,15592,Private Job,Permanent,28633,79183,Yes,4,1693887,Hostel,33212,1.55,320009,Rural,no,100
553663,2,Single Father,Own,22173,Agriculture,Self-employed,24495,93254,Yes,1,1750081,DayScholar,41925,6.67,416796,Rural,yes,100
665022,4,Single Mother,Rent,33204,Business,Temporary,64550,44264,No,1,622236,DayScholar,11982,6.05,464175,Urban,yes,0
541252,1,Single Father,Own,35596,Private Job,Temporary,36483,42317,No,4,1803550,DayScholar,8655,0.87,365537,Rural,no,0
637717,3,Single Father,Rent,34324,Unemployed,Contract,113181,47914,No,0,1277764,DayScholar,18582,0.37,72144,Urban,no,50
