Annual_Income,Earning_Members,Parent_Type,House_Type,Parent_Occupation,Land_Owned_Acres,Children_Studying,Any_Disability,Urban_Rural,First_Generation_Learner,Rent_Amount,Job_Type,Loan_Burden,Medical_Expenditure,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Agriculture_Income,Reimbursement_%
112000,3,Both Alive,Own,Daily Wage,0.01,0,No,Rural,No,0,Daily Income,50000,4457,123770,Hostel,0,0,100.0
631000,2,Single Parent,Rent,Business,1.31,3,No,Rural,No,5379,Self Employed,50000,2882,142529,Hostel,0,0,78.24
679000,2,Single Parent,Own,Unemployed,0.85,2,No,Rural,No,0,None,200000,3731,120141,DayScholar,1913,0,80.29
64000,3,Both Alive,Own,Unemployed,0.57,0,No,Urban,Yes,0,None,30000,11003,90558,DayScholar,2795,0,98.64
162000,3,Both Alive,Own,Daily Wage,0.14,3,No,Urban,Yes,0,Daily Income,30000,7508,145013,Hostel,0,0,100.0
255000,2,Both Alive,Own,Business,0.53,3,No,Rural,Yes,0,Self Employed,150000,12293,66534,DayScholar,2599,0,100.0
409000,2,Both Alive,Own,Private Job,0.44,2,No,Rural,Yes,0,Salaried,0,2000,61668,Hostel,0,0,84.45
106000,1,Both Alive,Own,Business,0.36,3,No,Rural,Yes,0,Self Employed,30000,2068,34111,Hostel,0,0,100.0
715000,1,Single Parent,Own,Unemployed,1.31,2,No,Urban,No,0,None,150000,6392,54686,DayScholar,940,0,65.52
328000,2,Both Alive,Own,Business,1.21,1,No,Urban,Yes,0,Self Employed,150000,3781,102551,DayScholar,1635,0,87.35
429000,3,Single Parent,Rent,Agriculture,0.89,2,No,Rural,Yes,1788,Daily Income,50000,10211,102392,DayScholar,3243,131682,100.0
695000,3,Both Alive,Rent,Private Job,2.79,1,No,Rural,Yes,7164,Salaried,0,10610,46490,Hostel,0,0,47.84
165000,3,Both Alive,Rent,Government Job,0.43,0,No,Urban,Yes,5359,Salaried,30000,4589,65194,DayScholar,2086,0,100.0
729000,3,Both Alive,Rent,Agriculture,0.28,3,No,Rural,No,4560,Daily Income,50000,2365,44497,Hostel,0,162173,83.54
718000,1,Single Parent,Own,Government Job,1.07,2,No,Rural,No,0,Salaried,150000,10097,149066,Hostel,0,0,71.62
716000,2,Both Alive,Rent,Daily Wage,0.22,2,No,Rural,No,7039,Daily Income,0,11415,83516,DayScholar,3936,0,68.04
179000,3,Both Alive,Own,Government Job,0.38,3,No,Rural,Yes,0,Salaried,10000,6100,147219,DayScholar,3938,0,100.0
663000,1,Both Alive,Rent,Business,0.25,3,No,Urban,Yes,2683,Self Employed,50000,6555,118730,Hostel,0,0,80.24
117000,3,Both Alive,Rent,Government Job,0.07,0,No,Rural,Yes,5835,Salaried,100000,504,74104,Hostel,0,0,100.0
405000,2,Both Alive,Rent,Unemployed,1.76,0,No,Rural,Yes,7582,None,150000,14869,35316,DayScholar,3677,0,85.94
533000,1,Both Alive,Rent,Agriculture,0.29,2,Yes,Urban,No,2946,Daily Income,0,8459,68130,Hostel,0,192268,100.0
176000,2,Both Alive,Rent,Agriculture,0.64,0,No,Rural,Yes,3249,Daily Income,50000,1668,100229,DayScholar,1669,174641,100.0
186000,2,Both Alive,Own,Government Job,0.04,1,No,Rural,No,0,Salaried,30000,2898,137294,DayScholar,977,0,96.56
452000,1,Both Alive,Own,Agriculture,1.2,0,No,Rural,Yes,0,Daily Income,0,3130,59954,Hostel,0,192959,78.3
700000,1,Both Alive,Rent,Unemployed,0.4,0,No,Rural,No,7859,None,150000,7108,143437,DayScholar,1214,0,73.24
117000,1,Both Alive,Own,Agriculture,1.37,2,No,Urban,No,0,Daily Income,30000,847,51652,DayScholar,2176,107971,97.44
693000,1,Both Alive,Rent,Government Job,0.53,1,No,Rural,No,2577,Salaried,100000,6361,44178,Hostel,0,0,71.51
572000,1,Both Alive,Rent,Private Job,0.22,0,No,Urban,Yes,3877,Salaried,200000,12912,138933,DayScholar,1008,0,89.47
155000,1,Both Alive,Own,Private Job,0.72,1,No,Rural,No,0,Salaried,10000,10505,81163,Hostel,0,0,90.54
697000,1,Single Parent,Rent,Daily Wage,0.14,1,No,Rural,No,6907,Daily Income,150000,3842,44751,DayScholar,2604,0,86.93
177000,3,Both Alive,Rent,Agriculture,0.58,1,No,Rural,Yes,7688,Daily Income,100000,7000,95961,Hostel,0,100570,100.0
619000,2,Both Alive,Rent,Government Job,0.38,3,No,Rural,Yes,4376,Salaried,100000,3074,33044,DayScholar,1680,0,89.89
660000,1,Both Alive,Rent,Agriculture,2.43,3,No,Rural,No,7841,Daily Income,0,4325,93165,Hostel,0,29442,53.63
547000,3,Both Alive,Own,Business,0.06,3,No,Urban,No,0,Self Employed,0,5093,41480,Hostel,0,0,71.86
296000,3,Both Alive,Rent,Unemployed,1.18,3,No,Rural,Yes,7100,None,50000,5772,95439,DayScholar,3704,0,99.87
331000,3,Both Alive,Rent,Agriculture,0.2,2,No,Rural,Yes,2832,Daily Income,0,8744,73874,Hostel,0,186141,100.0
248000,2,Both Alive,Own,Agriculture,0.38,0,No,Rural,No,0,Daily Income,150000,648,134533,Hostel,0,189632,100.0
763000,1,Both Alive,Own,Private Job,0.54,3,No,Rural,Yes,0,Salaried,150000,9194,96775,Hostel,0,0,74.69
506000,3,Both Alive,Rent,Unemployed,2.39,2,No,Rural,Yes,6291,None,150000,1369,36566,Hostel,0,0,79.16
640000,2,Both Alive,Own,Government Job,0.28,0,No,Urban,Yes,0,Salaried,200000,4021,115311,DayScholar,2360,0,76.35
306000,2,Both Alive,Rent,Agriculture,0.1,3,No,Rural,No,4737,Daily Income,150000,13006,132517,DayScholar,2591,92752,100.0
135000,2,Both Alive,Rent,Private Job,0.38,0,No,Urban,Yes,3865,Salaried,50000,4371,83149,Hostel,0,0,100.0
213000,3,Both Alive,Own,Daily Wage,0.11,3,No,Rural,No,0,Daily Income,0,1800,33006,DayScholar,817,0,97.71
715000,1,Both Alive,Rent,Unemployed,0.14,2,No,Urban,Yes,4674,None,150000,11191,102561,DayScholar,1033,0,82.72
494000,3,Single Parent,Rent,Private Job,0.85,1,No,Urban,No,6555,Salaried,100000,8095,49423,DayScholar,2108,0,85.75
145000,3,Both Alive,Own,Private Job,0.06,1,No,Urban,No,0,Salaried,10000,14918,134862,Hostel,0,0,93.52
756000,1,Both Alive,Own,Private Job,0.03,0,No,Rural,Yes,0,Salaried,100000,12725,120710,DayScholar,3725,0,67.08
344000,1,Both Alive,Own,Agriculture,1.25,2,No,Rural,Yes,0,Daily Income,50000,11981,122199,DayScholar,2784,129570,94.99
279000,1,Both Alive,Own,Agriculture,0.45,1,No,Urban,Yes,0,Daily Income,200000,5333,63952,DayScholar,3440,115547,100.0
128000,2,Both Alive,Rent,Daily Wage,0.13,3,No,Urban,Yes,1744,Daily Income,50000,12545,57326,DayScholar,3064,0,100.0
106000,1,Both Alive,Own,Business,0.29,1,No,Rural,No,0,Self Employed,0,7170,147272,Hostel,0,0,97.14
153000,3,Both Alive,Rent,Business,1.03,0,No,Urban,Yes,7272,Self Employed,30000,2951,61139,DayScholar,1833,0,96.29
512000,1,Both Alive,Own,Business,0.32,0,No,Rural,No,0,Self Employed,150000,4885,92103,DayScholar,1700,0,78.57
263000,3,Both Alive,Own,Unemployed,0.68,2,No,Urban,Yes,0,None,50000,9030,142734,DayScholar,2294,0,91.86
277000,2,Both Alive,Rent,Unemployed,0.13,0,No,Rural,Yes,6132,None,0,3324,90857,Hostel,0,0,98.24
533000,3,Both Alive,Rent,Daily Wage,0.89,1,Yes,Urban,Yes,4253,Daily Income,100000,7354,103638,DayScholar,2585,0,100.0
491000,3,Single Parent,Own,Unemployed,0.38,1,No,Rural,Yes,0,None,50000,10385,142173,DayScholar,3201,0,88.5
400000,1,Both Alive,Own,Business,0.99,1,No,Rural,Yes,0,Self Employed,0,6464,102652,DayScholar,1954,0,76.79
610000,1,Both Alive,Own,Business,1.65,1,No,Rural,No,0,Self Employed,100000,1486,42937,DayScholar,2433,0,58.34
671000,3,Single Parent,Own,Private Job,0.95,2,No,Urban,Yes,0,Salaried,200000,13746,60161,DayScholar,1246,0,81.86
348000,1,Both Alive,Rent,Unemployed,0.35,3,No,Rural,Yes,2030,None,100000,8671,34383,Hostel,0,0,100.0
313000,2,Both Alive,Own,Agriculture,0.3,3,No,Rural,No,0,Daily Income,200000,3990,115856,DayScholar,1340,112783,100.0
793000,2,Both Alive,Own,Agriculture,0.4,2,Yes,Urban,No,0,Daily Income,200000,8576,146387,Hostel,0,91727,99.97
416000,1,Single Parent,Own,Private Job,0.18,0,No,Urban,Yes,0,Salaried,200000,14018,100043,DayScholar,2018,0,100.0
82000,2,Both Alive,Rent,Private Job,0.2,3,No,Rural,No,6256,Salaried,100000,11425,44735,Hostel,0,0,100.0
581000,1,Both Alive,Rent,Private Job,1.56,0,No,Urban,Yes,3301,Salaried,150000,4267,89919,DayScholar,2672,0,72.09
159000,3,Both Alive,Own,Agriculture,0.49,3,No,Rural,No,0,Daily Income,0,14076,125249,DayScholar,1588,24934,100.0
239000,3,Single Parent,Rent,Business,0.57,0,No,Rural,No,6961,Self Employed,0,12768,112055,DayScholar,1292,0,98.57
282000,2,Both Alive,Own,Private Job,0.9,2,No,Rural,No,0,Salaried,200000,2506,97561,Hostel,0,0,98.34
718000,1,Both Alive,Own,Daily Wage,0.89,1,No,Rural,No,0,Daily Income,50000,8425,115455,DayScholar,1767,0,54.44
501000,1,Both Alive,Rent,Private Job,0.07,0,No,Rural,Yes,5228,Salaried,200000,3607,67622,Hostel,0,0,99.65
667000,2,Both Alive,Rent,Government Job,1.78,1,No,Urban,No,7731,Salaried,150000,4968,68135,Hostel,0,0,61.23
384000,3,Both Alive,Rent,Private Job,0.2,0,No,Rural,Yes,5511,Salaried,150000,14299,65658,Hostel,0,0,100.0
575000,2,Single Parent,Rent,Agriculture,1.28,0,No,Urban,Yes,7689,Daily Income,50000,3830,114677,DayScholar,3190,85064,85.27
75000,3,Both Alive,Own,Unemployed,1.48,0,No,Rural,Yes,0,None,50000,11733,59696,DayScholar,792,0,94.77
395000,1,Both Alive,Rent,Private Job,1.25,0,No,Rural,No,2642,Salaried,100000,9222,33773,DayScholar,3268,0,81.54
317000,3,Both Alive,Own,Unemployed,0.87,0,No,Urban,No,0,None,0,1423,54956,DayScholar,1904,0,70.48
556000,2,Single Parent,Rent,Government Job,0.01,1,No,Rural,Yes,3255,Salaried,0,12810,45819,Hostel,0,0,91.74
219000,1,Both Alive,Own,Daily Wage,0.45,0,No,Urban,No,0,Daily Income,0,6747,31528,DayScholar,3303,0,81.05
534000,2,Both Alive,Rent,Unemployed,0.93,1,No,Rural,No,6340,None,150000,8932,116491,Hostel,0,0,82.26
723000,2,Single Parent,Own,Business,0.49,2,No,Rural,Yes,0,Self Employed,0,13792,74588,Hostel,0,0,70.98
749000,3,Single Parent,Own,Private Job,1.99,3,No,Rural,Yes,0,Salaried,100000,2396,100585,Hostel,0,0,65.79
734000,2,Single Parent,Rent,Government Job,0.37,0,No,Urban,No,2262,Salaried,100000,8383,129152,DayScholar,3554,0,71.3
439000,3,Single Parent,Own,Government Job,0.35,3,No,Rural,Yes,0,Salaried,0,3824,50511,DayScholar,3418,0,94.31
604000,1,Both Alive,Own,Unemployed,0.31,1,No,Rural,Yes,0,None,50000,13953,40119,Hostel,0,0,73.61
750000,3,Both Alive,Own,Daily Wage,0.4,2,No,Urban,No,0,Daily Income,100000,1313,105893,DayScholar,1575,0,59.94
486000,1,Both Alive,Own,Agriculture,0.82,2,No,Rural,No,0,Daily Income,50000,5250,46167,DayScholar,1897,158874,83.62
672000,3,Single Parent,Own,Private Job,1.23,2,No,Urban,No,0,Salaried,150000,8118,86503,Hostel,0,0,69.16
327000,2,Both Alive,Own,Government Job,1.09,3,No,Rural,No,0,Salaried,100000,1282,140782,DayScholar,3934,0,88.61
636000,3,Both Alive,Rent,Daily Wage,1.65,1,No,Rural,Yes,7590,Daily Income,50000,4555,117789,DayScholar,3114,0,66.65
476000,3,Both Alive,Own,Business,2.17,0,No,Rural,Yes,0,Self Employed,0,8289,64889,DayScholar,1537,0,57.41
227000,1,Both Alive,Rent,Government Job,1.69,0,No,Rural,No,2339,Salaried,150000,8699,75678,DayScholar,1863,0,92.51
102000,2,Both Alive,Rent,Daily Wage,0.02,1,No,Rural,Yes,1502,Daily Income,0,12465,125334,DayScholar,3149,0,100.0
615000,3,Orphan,Own,Agriculture,1.33,3,No,Rural,No,0,Daily Income,200000,14502,90262,Hostel,0,114311,100.0
344000,2,Single Parent,Rent,Agriculture,0.23,0,No,Urban,Yes,2904,Daily Income,0,13362,34681,DayScholar,1612,102124,100.0
456000,3,Both Alive,Own,Government Job,0.14,1,No,Urban,Yes,0,Salaried,150000,3639,110291,DayScholar,3452,0,89.04
71000,3,Both Alive,Rent,Government Job,1.02,0,No,Rural,Yes,3437,Salaried,30000,12481,96008,Hostel,0,0,100.0
666000,2,Both Alive,Own,Unemployed,0.39,2,No,Rural,No,0,None,150000,5507,146475,DayScholar,3875,0,73.61
361000,3,Both Alive,Own,Private Job,0.06,0,No,Rural,Yes,0,Salaried,150000,4551,128417,DayScholar,1791,0,97.15
312000,2,Single Parent,Rent,Daily Wage,0.15,3,No,Urban,Yes,4904,Daily Income,200000,8075,43690,Hostel,0,0,100.0
558000,3,Both Alive,Rent,Government Job,0.0,1,No,Rural,Yes,6282,Salaried,50000,9209,55912,DayScholar,1529,0,87.65
94000,1,Both Alive,Rent,Private Job,2.34,3,No,Urban,No,2637,Salaried,100000,3690,36473,DayScholar,741,0,96.22
786000,2,Single Parent,Own,Unemployed,0.02,1,No,Rural,Yes,0,None,50000,11794,71298,Hostel,0,0,72.22
149000,3,Both Alive,Rent,Private Job,0.24,2,No,Rural,Yes,7106,Salaried,50000,6137,48669,Hostel,0,0,100.0
664000,3,Both Alive,Own,Government Job,0.54,1,No,Urban,Yes,0,Salaried,100000,13270,129500,Hostel,0,0,67.35
661000,1,Both Alive,Own,Agriculture,0.44,0,No,Urban,No,0,Daily Income,100000,11408,111998,DayScholar,3356,61477,69.51
477000,2,Both Alive,Own,Daily Wage,2.43,0,No,Rural,Yes,0,Daily Income,100000,1078,50943,DayScholar,1478,0,62.76
174000,3,Both Alive,Rent,Daily Wage,0.04,2,No,Urban,Yes,2214,Daily Income,10000,8638,68785,DayScholar,1017,0,100.0
676000,1,Both Alive,Own,Agriculture,0.72,1,No,Rural,Yes,0,Daily Income,50000,4982,130956,Hostel,0,166101,74.88
255000,3,Both Alive,Own,Government Job,1.14,2,No,Urban,Yes,0,Salaried,200000,13199,93427,Hostel,0,0,99.85
560000,2,Single Parent,Rent,Daily Wage,2.68,0,No,Rural,No,7946,Daily Income,0,2365,92001,Hostel,0,0,56.92
685000,3,Both Alive,Own,Government Job,0.97,3,No,Rural,Yes,0,Salaried,200000,5989,91724,DayScholar,3331,0,79.74
552000,3,Both Alive,Own,Unemployed,1.63,2,No,Rural,No,0,None,150000,1876,149006,DayScholar,1679,0,69.36
134000,3,Both Alive,Own,Government Job,0.09,3,No,Urban,No,0,Salaried,100000,14755,40832,DayScholar,584,0,100.0
472000,3,Both Alive,Rent,Private Job,0.49,3,No,Urban,Yes,3660,Salaried,100000,14147,35385,Hostel,0,0,94.66
435000,1,Both Alive,Own,Agriculture,0.47,1,No,Rural,No,0,Daily Income,50000,11630,125898,DayScholar,1533,178797,87.38
479000,1,Both Alive,Own,Government Job,2.17,2,No,Rural,No,0,Salaried,150000,9597,44708,DayScholar,637,0,69.07
788000,2,Both Alive,Rent,Unemployed,0.16,3,No,Urban,No,7476,None,200000,5908,88600,Hostel,0,0,78.6
336000,1,Orphan,Rent,Business,0.16,3,No,Urban,Yes,3644,Self Employed,150000,8663,53438,DayScholar,3453,0,100.0
735000,1,Both Alive,Own,Agriculture,0.4,1,No,Rural,Yes,0,Daily Income,150000,5558,112747,Hostel,0,68061,81.9
453000,2,Both Alive,Rent,Daily Wage,0.06,1,No,Rural,Yes,3563,Daily Income,100000,9656,110107,Hostel,0,0,98.05
516000,1,Single Parent,Rent,Private Job,0.2,0,No,Urban,No,4103,Salaried,200000,6783,90062,Hostel,0,0,95.4
251000,1,Both Alive,Rent,Daily Wage,3.36,3,No,Urban,Yes,3477,Daily Income,0,2476,95428,DayScholar,3334,0,74.06
798000,2,Both Alive,Own,Unemployed,0.56,0,No,Rural,Yes,0,None,100000,6943,116843,DayScholar,3796,0,59.2
748000,2,Both Alive,Rent,Unemployed,1.0,3,No,Rural,Yes,2241,None,200000,13824,41002,Hostel,0,0,83.24
158000,2,Both Alive,Own,Daily Wage,1.3,0,No,Rural,Yes,0,Daily Income,30000,5259,66153,Hostel,0,0,89.37
607000,3,Both Alive,Own,Agriculture,0.46,1,No,Rural,Yes,0,Daily Income,100000,8095,52440,DayScholar,3766,196010,85.93
155000,3,Both Alive,Own,Daily Wage,0.16,2,No,Urban,Yes,0,Daily Income,10000,5420,97501,DayScholar,1053,0,100.0
723000,2,Both Alive,Own,Government Job,0.23,1,No,Urban,Yes,0,Salaried,100000,2387,62556,DayScholar,895,0,66.38
722000,2,Both Alive,Own,Daily Wage,0.38,0,No,Urban,No,0,Daily Income,150000,11139,97963,Hostel,0,0,59.96
249000,2,Both Alive,Rent,Private Job,1.01,0,No,Rural,Yes,3867,Salaried,200000,1491,131145,Hostel,0,0,100.0
795000,3,Both Alive,Own,Private Job,0.51,2,No,Rural,No,0,Salaried,50000,5728,120725,Hostel,0,0,55.93
96000,3,Both Alive,Own,Business,0.01,3,No,Urban,Yes,0,Self Employed,30000,12248,120674,Hostel,0,0,100.0
428000,1,Both Alive,Own,Private Job,0.74,0,No,Rural,Yes,0,Salaried,50000,12651,36563,DayScholar,1832,0,78.26
754000,1,Both Alive,Own,Daily Wage,2.54,0,No,Urban,No,0,Daily Income,100000,14984,109923,DayScholar,2389,0,33.19
584000,2,Single Parent,Rent,Private Job,1.67,0,No,Rural,No,2067,Salaried,100000,8546,35840,DayScholar,1309,0,72.88
338000,3,Both Alive,Own,Agriculture,1.74,2,No,Rural,Yes,0,Daily Income,0,14527,45154,DayScholar,3509,91257,76.75
276000,3,Both Alive,Own,Private Job,1.59,1,No,Urban,No,0,Salaried,0,6950,54194,Hostel,0,0,69.33
332000,3,Both Alive,Own,Government Job,0.39,0,No,Urban,No,0,Salaried,0,4104,95020,Hostel,0,0,74.08
121000,2,Both Alive,Own,Agriculture,1.45,2,No,Rural,No,0,Daily Income,30000,1583,76861,DayScholar,3534,155425,100.0
655000,1,Single Parent,Own,Business,0.15,0,No,Rural,Yes,0,Self Employed,150000,9126,52448,Hostel,0,0,84.64
788000,2,Orphan,Rent,Government Job,1.07,3,No,Rural,Yes,4393,Salaried,100000,520,126460,Hostel,0,0,91.99
401000,1,Both Alive,Rent,Daily Wage,1.03,2,No,Rural,No,7218,Daily Income,200000,11614,53528,Hostel,0,0,97.14
456000,1,Both Alive,Own,Daily Wage,0.03,0,No,Rural,No,0,Daily Income,0,10617,59402,Hostel,0,0,73.23
758000,2,Both Alive,Rent,Daily Wage,1.55,2,No,Urban,Yes,5209,Daily Income,50000,10164,34352,Hostel,0,0,58.45
78000,1,Single Parent,Rent,Government Job,2.34,0,No,Urban,No,3286,Salaried,100000,1599,30184,DayScholar,3984,0,96.29
236000,1,Both Alive,Rent,Government Job,0.31,1,No,Rural,Yes,7215,Salaried,50000,7341,40384,DayScholar,1239,0,100.0
671000,3,Both Alive,Own,Government Job,1.67,0,No,Urban,Yes,0,Salaried,200000,3137,44319,Hostel,0,0,60.97
455000,1,Both Alive,Own,Agriculture,0.09,2,No,Rural,Yes,0,Daily Income,200000,9081,50449,Hostel,0,168404,100.0
504000,2,Both Alive,Own,Unemployed,0.92,3,No,Urban,No,0,None,0,8244,86333,DayScholar,3282,0,66.51
292000,2,Both Alive,Rent,Agriculture,0.66,3,No,Urban,Yes,1577,Daily Income,200000,3913,71205,Hostel,0,34388,100.0
135000,1,Both Alive,Rent,Daily Wage,0.79,3,No,Urban,No,5113,Daily Income,100000,7957,40426,Hostel,0,0,100.0
324000,3,Both Alive,Own,Unemployed,2.61,0,No,Rural,Yes,0,None,200000,11307,37504,Hostel,0,0,79.17
514000,3,Both Alive,Own,Private Job,2.05,1,No,Urban,No,0,Salaried,200000,1854,86578,Hostel,0,0,64.83
777000,1,Both Alive,Rent,Daily Wage,1.54,0,No,Rural,No,3687,Daily Income,200000,6902,88209,DayScholar,2593,0,61.13
794000,1,Both Alive,Rent,Business,0.32,3,No,Rural,No,2052,Self Employed,0,5021,146775,DayScholar,3588,0,64.86
443000,2,Both Alive,Rent,Agriculture,2.43,2,No,Rural,No,6593,Daily Income,100000,14513,63368,Hostel,0,58769,73.03
623000,1,Both Alive,Rent,Government Job,0.1,3,No,Rural,Yes,1781,Salaried,0,5625,136108,Hostel,0,0,84.4
565000,3,Both Alive,Own,Agriculture,1.92,2,No,Urban,Yes,0,Daily Income,100000,505,141553,Hostel,0,133289,63.76
426000,1,Both Alive,Rent,Government Job,0.4,1,No,Rural,Yes,3346,Salaried,50000,8882,133841,Hostel,0,0,92.65
203000,2,Both Alive,Rent,Unemployed,0.06,2,No,Urban,Yes,6979,None,50000,8839,82185,DayScholar,730,0,100.0
128000,2,Both Alive,Own,Business,1.11,0,No,Rural,No,0,Self Employed,30000,13192,127630,DayScholar,3497,0,87.19
158000,2,Both Alive,Own,Unemployed,0.26,0,No,Urban,Yes,0,None,10000,4853,146744,DayScholar,3184,0,93.74
455000,2,Both Alive,Rent,Business,0.28,0,No,Rural,Yes,6753,Self Employed,100000,4050,110221,DayScholar,611,0,92.81
84000,2,Single Parent,Own,Agriculture,0.37,2,No,Rural,Yes,0,Daily Income,0,14925,38724,DayScholar,1092,160907,100.0
528000,1,Both Alive,Rent,Government Job,0.07,0,No,Rural,Yes,5211,Salaried,50000,13611,35084,DayScholar,3817,0,85.99
543000,1,Single Parent,Rent,Unemployed,0.19,0,No,Rural,Yes,5699,None,0,8531,64810,Hostel,0,0,87.89
624000,1,Both Alive,Rent,Business,0.01,0,No,Rural,No,6361,Self Employed,150000,4605,112277,Hostel,0,0,82.05
210000,1,Both Alive,Own,Daily Wage,0.59,1,No,Urban,Yes,0,Daily Income,100000,9802,112297,DayScholar,2939,0,97.22
203000,2,Both Alive,Own,Daily Wage,0.09,2,No,Rural,Yes,0,Daily Income,100000,12525,108872,Hostel,0,0,100.0
628000,3,Both Alive,Rent,Unemployed,1.15,2,No,Urban,No,3096,None,150000,13625,50872,DayScholar,1738,0,72.87
98000,1,Both Alive,Own,Government Job,0.27,3,No,Rural,No,0,Salaried,10000,5583,108950,DayScholar,2387,0,100.0
168000,3,Both Alive,Rent,Unemployed,2.87,2,No,Rural,Yes,4812,None,100000,9316,100333,DayScholar,3294,0,93.2
752000,1,Both Alive,Rent,Agriculture,2.05,1,No,Rural,No,7656,Daily Income,0,12817,98843,Hostel,0,132296,45.11
101000,1,Both Alive,Own,Business,0.34,2,No,Rural,Yes,0,Self Employed,30000,2675,142025,DayScholar,2629,0,100.0
245000,3,Both Alive,Own,Agriculture,1.53,1,No,Rural,Yes,0,Daily Income,200000,11841,128104,Hostel,0,107905,97.79
457000,2,Both Alive,Own,Daily Wage,1.63,1,No,Rural,Yes,0,Daily Income,100000,9770,32596,DayScholar,3369,0,74.76
282000,1,Both Alive,Own,Business,4.31,2,No,Urban,Yes,0,Self Employed,200000,12243,47167,Hostel,0,0,67.7
693000,1,Both Alive,Rent,Unemployed,0.91,3,No,Rural,No,7936,None,0,11044,117844,DayScholar,2026,0,65.97
192000,1,Both Alive,Rent,Agriculture,0.09,0,No,Rural,Yes,3572,Daily Income,30000,9237,147067,DayScholar,2469,112303,100.0
222000,3,Both Alive,Rent,Private Job,1.04,0,Yes,Rural,Yes,2795,Salaried,50000,5724,119751,DayScholar,1451,0,100.0
274000,2,Both Alive,Rent,Government Job,0.98,2,No,Rural,No,7124,Salaried,50000,1695,107331,DayScholar,2002,0,94.26
792000,3,Both Alive,Own,Government Job,1.02,2,No,Urban,Yes,0,Salaried,150000,14310,110520,DayScholar,871,0,61.15
294000,3,Orphan,Rent,Private Job,0.37,1,No,Urban,Yes,2438,Salaried,50000,2569,88326,DayScholar,3836,0,100.0
717000,2,Single Parent,Rent,Daily Wage,1.96,2,No,Rural,No,2261,Daily Income,200000,3858,107670,DayScholar,2811,0,75.12
647000,3,Both Alive,Rent,Business,3.21,1,No,Urban,Yes,6249,Self Employed,50000,2938,40782,Hostel,0,0,46.98
68000,2,Both Alive,Rent,Government Job,0.25,3,No,Urban,No,3169,Salaried,50000,9308,72002,DayScholar,2854,0,100.0
133000,1,Both Alive,Own,Private Job,0.09,2,No,Rural,Yes,0,Salaried,10000,4744,117187,DayScholar,1723,0,100.0
551000,2,Both Alive,Rent,Unemployed,0.22,0,No,Rural,No,4185,None,100000,3843,54022,DayScholar,725,0,80.97
312000,1,Both Alive,Own,Private Job,1.72,0,No,Rural,Yes,0,Salaried,150000,2311,114458,Hostel,0,0,84.54
289000,3,Both Alive,Own,Daily Wage,1.13,2,No,Urban,No,0,Daily Income,0,671,44618,DayScholar,3511,0,75.87
578000,3,Single Parent,Own,Daily Wage,1.01,1,No,Rural,Yes,0,Daily Income,150000,4642,47245,Hostel,0,0,84.55
233000,1,Both Alive,Rent,Agriculture,0.51,0,No,Urban,No,2626,Daily Income,200000,1125,113796,Hostel,0,69008,100.0
712000,3,Both Alive,Rent,Government Job,0.86,1,No,Rural,Yes,4797,Salaried,100000,6406,40027,DayScholar,2294,0,73.08
227000,2,Both Alive,Rent,Agriculture,0.37,2,No,Urban,Yes,7521,Daily Income,100000,8483,43986,Hostel,0,99134,100.0
229000,1,Both Alive,Rent,Private Job,0.65,2,Yes,Rural,Yes,6170,Salaried,50000,4563,140704,Hostel,0,0,100.0
452000,3,Both Alive,Rent,Business,1.58,0,No,Rural,No,7937,Self Employed,50000,10946,33526,DayScholar,1310,0,70.62
693000,1,Both Alive,Rent,Business,3.98,2,No,Rural,No,6925,Self Employed,200000,9144,121797,Hostel,0,0,49.39
253000,2,Both Alive,Own,Daily Wage,2.7,3,No,Rural,Yes,0,Daily Income,100000,10110,74361,Hostel,0,0,84.15
576000,2,Both Alive,Own,Business,2.72,3,No,Rural,Yes,0,Self Employed,0,8642,97158,Hostel,0,0,54.46
88000,3,Single Parent,Own,Business,0.51,0,No,Urban,No,0,Self Employed,10000,1253,68286,DayScholar,1313,0,98.03
224000,2,Both Alive,Rent,Business,0.63,3,No,Rural,Yes,5272,Self Employed,100000,12064,59533,DayScholar,2321,0,100.0
481000,1,Both Alive,Rent,Private Job,1.22,1,No,Urban,No,2019,Salaried,0,7351,130961,DayScholar,3921,0,67.17
398000,2,Both Alive,Own,Business,2.55,0,No,Rural,No,0,Self Employed,0,5604,48316,Hostel,0,0,52.99
707000,1,Single Parent,Own,Unemployed,0.15,0,No,Rural,No,0,None,150000,11415,38699,Hostel,0,0,75.16
555000,1,Both Alive,Rent,Business,0.36,1,No,Urban,Yes,6058,Self Employed,0,7843,109491,Hostel,0,0,76.46
424000,2,Both Alive,Own,Business,0.15,3,No,Rural,Yes,0,Self Employed,200000,7426,127079,DayScholar,1586,0,100.0
401000,3,Single Parent,Rent,Agriculture,0.95,3,No,Rural,No,7444,Daily Income,0,13921,148166,DayScholar,1421,52022,100.0
559000,2,Single Parent,Rent,Private Job,0.37,3,No,Urban,No,1982,Salaried,200000,7327,130960,Hostel,0,0,99.9
716000,1,Both Alive,Own,Daily Wage,0.39,0,Yes,Rural,No,0,Daily Income,0,11702,88465,Hostel,0,0,77.41
570000,1,Single Parent,Own,Agriculture,0.07,0,No,Rural,Yes,0,Daily Income,50000,11603,46673,Hostel,0,111411,93.18
