Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Disability_Family,No_of_Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned_Acres,Agriculture_Income,Urban_Rural,First_Generation_Learner
862272,2,Single Mother,Rent,2669,Private Job,Self-employed,0,29884,1,2,65320,Hostel,0,3.51,0,Urban,yes
458251,4,Both Alive,Own,0,Agriculture,Permanent,38850,43957,1,1,34064,DayScholar,2977,4.96,68608,Urban,yes
447902,4,Single Father,Own,0,Business,Permanent,37485,46171,0,4,45206,DayScholar,1709,3.77,0,Rural,yes
839451,4,Single Father,Own,0,Govt Job,Contract,84962,38834,1,1,91552,Hostel,0,1.5,0,Rural,no
182560,3,Single Father,Own,0,Govt Job,Contract,23072,36312,1,3,92731,Hostel,0,3.44,0,Rural,yes
525685,1,Single Father,Own,0,Govt Job,Self-employed,107038,34981,0,2,75939,Hostel,0,4.79,0,Rural,yes
375435,1,Single Father,Rent,5309,Agriculture,Permanent,0,19377,0,2,131982,Hostel,0,4.23,88880,Urban,no
268911,1,Single Mother,Rent,6343,Business,Self-employed,0,11157,1,3,101151,Hostel,0,4.51,0,Urban,no
189554,3,Single Mother,Own,0,Foreign,Permanent,0,49774,1,4,111905,Hostel,0,3.56,0,Urban,yes
958270,4,Single Father,Own,0,Govt Job,Self-employed,0,14207,1,3,104100,Hostel,0,2.68,0,Rural,no
454324,4,Single Father,Rent,4450,Private Job,Self-employed,0,35680,1,4,138170,DayScholar,2786,1.1,0,Urban,no
575375,3,Both Alive,Own,0,Agriculture,Permanent,0,28730,1,1,60113,DayScholar,4268,4.77,15595,Rural,no
655071,2,Single Father,Rent,9322,Foreign,Contract,60429,19231,1,1,139361,DayScholar,3124,0.58,0,Rural,yes
725784,4,Both Alive,Rent,8696,Business,Permanent,170561,32559,1,1,139426,DayScholar,721,2.6,0,Urban,yes
557224,4,Single Father,Rent,2959,Other,Permanent,0,38697,0,3,135325,DayScholar,1782,2.7,0,Rural,yes
81522,1,Single Mother,Rent,2500,Foreign,Permanent,178178,33577,1,4,26554,DayScholar,3757,2.04,0,Urban,yes
975005,2,Single Mother,Rent,6523,Govt Job,Permanent,0,32388,0,3,140355,DayScholar,2653,1.95,0,Urban,no
651724,3,Both Alive,Own,0,Other,Self-employed,100911,12206,1,4,60806,DayScholar,779,2.69,0,Urban,yes
235209,2,Single Father,Rent,6620,Govt Job,Contract,115713,32566,1,3,49794,DayScholar,2605,0.75,0,Rural,no
925059,2,Both Alive,Own,0,Govt Job,Self-employed,100357,19405,0,1,79541,Hostel,0,3.83,0,Rural,no
581659,1,Single Father,Own,0,Agriculture,Self-employed,0,37951,1,1,116719,DayScholar,891,4.78,9620,Urban,yes
633489,1,Single Father,Rent,2947,Other,Permanent,0,42748,0,2,11398,Hostel,0,0.58,0,Rural,yes
216132,3,Single Father,Own,0,Business,Self-employed,26271,37264,0,2,65255,Hostel,0,1.67,0,Urban,no
823503,4,Both Alive,Rent,5380,Govt Job,Permanent,0,8654,0,4,66923,Hostel,0,2.49,0,Rural,no
935010,4,Single Mother,Own,0,Business,Contract,138719,44443,0,1,37423,Hostel,0,1.05,0,Urban,no
452600,1,Both Alive,Own,0,Agriculture,Permanent,147913,33430,1,2,82298,DayScholar,4837,4.66,73880,Rural,no
90410,2,Single Mother,Rent,6811,Business,Self-employed,0,24481,0,4,21194,Hostel,0,0.91,0,Rural,no
655071,4,Single Father,Own,0,Other,Contract,121148,5436,0,1,102779,Hostel,0,4.45,0,Rural,no
435127,3,Single Father,Own,0,Agriculture,Self-employed,186627,29878,0,2,99967,DayScholar,2861,1.23,21788,Rural,yes
645048,3,Single Father,Own,0,Agriculture,Contract,159027,43375,0,4,125026,Hostel,0,0.56,63126,Rural,yes
237351,1,Both Alive,Rent,2272,Private Job,Permanent,136009,26316,0,2,37100,Hostel,0,0.48,0,Rural,yes
82046,2,Both Alive,Own,0,Private Job,Self-employed,141899,11148,0,4,54593,DayScholar,1490,0.88,0,Urban,yes
644460,4,Single Mother,Rent,3877,Daily Wage,Contract,127477,29205,1,2,75290,DayScholar,505,0.57,0,Urban,yes
128247,3,Single Mother,Rent,8335,Other,Contract,199296,21812,0,3,128083,Hostel,0,0.36,0,Rural,yes
76069,1,Single Mother,Rent,6260,Govt Job,Contract,0,48105,1,3,73750,Hostel,0,1.5,0,Urban,no
637866,2,Single Mother,Own,0,Foreign,Self-employed,131502,18049,0,1,63488,DayScholar,1059,2.01,0,Urban,yes
295326,1,Both Alive,Rent,5219,Agriculture,Self-employed,0,35166,0,4,118758,Hostel,0,2.49,95208,Rural,no
398197,3,Both Alive,Own,0,Daily Wage,Self-employed,73863,41194,1,1,64911,DayScholar,3997,3.67,0,Rural,yes
102954,1,Single Mother,Own,0,Daily Wage,Contract,96606,23754,1,3,109763,DayScholar,2980,1.76,0,Urban,no
458422,2,Both Alive,Rent,5824,Business,Contract,127265,32150,0,2,12081,DayScholar,1318,4.22,0,Rural,no
762944,3,Single Father,Own,0,Agriculture,Self-employed,0,35828,0,2,14373,DayScholar,792,2.89,94731,Rural,yes
936578,4,Single Mother,Own,0,Daily Wage,Self-employed,0,35455,1,3,70184,Hostel,0,4.11,0,Rural,no
110544,2,Single Father,Rent,7266,Daily Wage,Self-employed,160518,19061,1,4,23271,Hostel,0,3.85,0,Urban,yes
560340,4,Single Father,Own,0,Private Job,Contract,0,3998,1,2,144133,DayScholar,2830,3.59,0,Rural,yes
450597,4,Both Alive,Rent,8723,Other,Permanent,0,36194,1,3,53813,DayScholar,2002,3.49,0,Urban,no
658563,1,Single Father,Own,0,Other,Permanent,63716,36133,1,3,22423,DayScholar,4520,4.4,0,Urban,yes
382758,1,Single Father,Own,0,Govt Job,Contract,0,48797,1,2,49440,Hostel,0,3.96,0,Rural,yes
781121,2,Single Father,Rent,3393,Other,Permanent,172194,24141,1,1,124497,DayScholar,4523,0.31,0,Urban,yes
323301,1,Both Alive,Own,0,Agriculture,Permanent,162068,14520,1,2,68659,DayScholar,4390,3.2,84727,Rural,no
164785,4,Single Father,Own,0,Foreign,Permanent,0,28721,0,2,106527,Hostel,0,2.79,0,Urban,yes
900070,2,Single Mother,Rent,9568,Agriculture,Permanent,0,24391,0,1,136565,Hostel,0,0.36,89423,Urban,yes
831165,3,Single Mother,Rent,5127,Foreign,Self-employed,0,14747,0,4,30839,Hostel,0,1.8,0,Urban,yes
820298,4,Both Alive,Own,0,Agriculture,Permanent,70739,40683,1,1,78396,Hostel,0,1.58,35512,Rural,yes
629650,1,Single Father,Own,0,Other,Contract,0,21181,1,4,141306,Hostel,0,4.22,0,Urban,yes
253473,4,Both Alive,Own,0,Daily Wage,Contract,153998,27877,0,4,124891,DayScholar,4739,2.49,0,Rural,no
538887,1,Single Father,Own,0,Private Job,Self-employed,0,34891,0,3,46354,Hostel,0,1.96,0,Urban,yes
458762,4,Single Mother,Rent,8067,Daily Wage,Self-employed,0,23010,1,4,91381,DayScholar,2213,4.5,0,Rural,no
536610,3,Single Father,Own,0,Daily Wage,Contract,0,1753,1,1,112173,DayScholar,2495,1.26,0,Rural,no
83532,1,Both Alive,Own,0,Business,Self-employed,0,14094,0,3,31761,DayScholar,3007,1.89,0,Rural,no
542409,1,Single Mother,Rent,7309,Foreign,Contract,97541,19043,0,3,114745,DayScholar,2402,3.48,0,Rural,no
158551,2,Single Father,Rent,2535,Daily Wage,Self-employed,0,2213,1,4,72942,Hostel,0,1.48,0,Urban,yes
471059,1,Single Mother,Rent,7596,Govt Job,Self-employed,0,36140,0,3,65723,DayScholar,3711,3.62,0,Rural,yes
837481,2,Single Father,Rent,6728,Other,Self-employed,0,30526,1,3,57228,DayScholar,4281,4.97,0,Urban,yes
383599,3,Single Father,Rent,9824,Foreign,Permanent,174006,20125,1,4,49686,DayScholar,4896,0.33,0,Rural,no
807310,2,Single Father,Own,0,Other,Permanent,46206,45716,0,4,28148,DayScholar,2308,4.95,0,Rural,no
94878,4,Single Mother,Rent,2516,Other,Self-employed,0,3322,1,3,66265,DayScholar,1374,0.99,0,Urban,no
144183,1,Single Mother,Rent,2504,Govt Job,Self-employed,0,41466,1,3,37528,DayScholar,3506,0.91,0,Rural,no
887320,4,Single Father,Own,0,Daily Wage,Permanent,0,48487,0,2,137443,DayScholar,3355,4.39,0,Rural,no
456338,3,Single Mother,Own,0,Private Job,Self-employed,115418,6466,0,2,118963,Hostel,0,0,0,Urban,yes
603136,3,Single Father,Own,0,Other,Self-employed,0,37708,0,2,138736,Hostel,0,0.16,0,Urban,no
858772,3,Single Mother,Rent,4124,Business,Contract,0,39648,0,2,23773,Hostel,0,4.54,0,Urban,yes
790869,2,Both Alive,Own,0,Daily Wage,Contract,17939,13220,1,3,48891,DayScholar,4798,0.58,0,Rural,no
942032,1,Both Alive,Rent,2667,Foreign,Contract,36304,34566,0,1,122992,Hostel,0,1.51,0,Rural,yes
467337,2,Single Mother,Rent,8700,Other,Permanent,0,44611,0,1,126886,Hostel,0,2.97,0,Urban,no
341289,4,Both Alive,Own,0,Business,Permanent,0,28759,0,2,53335,Hostel,0,0.51,0,Rural,yes
824881,1,Single Father,Rent,4597,Foreign,Permanent,0,21050,1,1,69410,Hostel,0,1.87,0,Urban,yes
146465,1,Single Mother,Rent,2079,Govt Job,Self-employed,168975,5842,0,1,129315,DayScholar,3334,3.63,0,Urban,no
278522,4,Single Father,Own,0,Other,Contract,0,29095,1,4,13238,Hostel,0,4.77,0,Urban,no
935178,2,Both Alive,Rent,5952,Business,Contract,0,29220,1,2,126806,Hostel,0,1.07,0,Rural,yes
695927,3,Both Alive,Own,0,Foreign,Contract,58238,34636,0,4,90380,DayScholar,897,4.14,0,Urban,no
367300,1,Single Mother,Rent,4394,Private Job,Self-employed,114014,32104,0,4,51877,Hostel,0,3.88,0,Urban,yes
641729,1,Single Mother,Rent,7510,Govt Job,Self-employed,67898,11438,0,4,114486,Hostel,0,0.26,0,Rural,no
590359,2,Both Alive,Own,0,Other,Self-employed,121829,12169,1,3,60336,DayScholar,2433,3.3,0,Rural,no
926731,2,Single Mother,Own,0,Agriculture,Permanent,0,20691,0,3,55354,DayScholar,1044,1.09,44440,Urban,no
829907,1,Single Father,Rent,5293,Private Job,Contract,0,4616,1,4,142050,Hostel,0,4.85,0,Rural,yes
903537,3,Single Father,Own,0,Private Job,Self-employed,0,8396,0,1,14176,DayScholar,3529,3.38,0,Rural,no
178757,4,Single Mother,Own,0,Foreign,Contract,0,5517,0,1,106811,DayScholar,3903,4.32,0,Rural,no
87963,2,Single Mother,Rent,7977,Foreign,Permanent,74262,2222,1,2,72561,Hostel,0,1.29,0,Urban,no
569304,2,Single Mother,Rent,7334,Govt Job,Contract,0,22048,0,4,81881,Hostel,0,2.78,0,Urban,yes
186249,1,Single Mother,Own,0,Daily Wage,Permanent,0,25730,0,1,14085,Hostel,0,1.04,0,Rural,no
567565,1,Single Father,Rent,6054,Business,Permanent,0,10016,0,1,22242,DayScholar,923,2.57,0,Urban,no
262547,4,Both Alive,Rent,9972,Agriculture,Self-employed,138513,20151,1,1,100844,Hostel,0,2.97,91699,Urban,no
473805,1,Both Alive,Own,0,Agriculture,Self-employed,127604,12306,0,3,57961,Hostel,0,4.72,5760,Rural,no
725420,2,Single Mother,Own,0,Business,Permanent,133546,9045,1,1,68569,Hostel,0,0.82,0,Rural,no
337183,3,Single Mother,Rent,4365,Daily Wage,Self-employed,71258,31994,1,4,106066,Hostel,0,2.85,0,Rural,no
794792,1,Both Alive,Own,0,Private Job,Self-employed,143033,47412,0,2,128983,DayScholar,2908,2.54,0,Rural,no
786188,3,Single Father,Rent,9963,Agriculture,Contract,148542,29949,0,4,141161,DayScholar,748,4.44,35113,Urban,no
978204,4,Both Alive,Rent,7722,Govt Job,Self-employed,124664,24853,1,2,74522,Hostel,0,2.83,0,Urban,yes
705801,3,Single Mother,Own,0,Daily Wage,Permanent,37186,34162,1,3,16699,DayScholar,2235,0.74,0,Urban,yes
359748,4,Both Alive,Own,0,Agriculture,Contract,0,2298,0,3,58267,Hostel,0,1.96,21539,Urban,yes
476718,3,Single Father,Own,0,Private Job,Self-employed,0,17653,1,1,106503,DayScholar,607,2.8,0,Rural,yes
633576,2,Both Alive,Rent,2496,Foreign,Permanent,152415,40157,1,4,146128,DayScholar,2218,1.82,0,Urban,yes
525443,2,Single Mother,Rent,2745,Daily Wage,Self-employed,0,105,0,1,44715,Hostel,0,0.28,0,Urban,no
801997,3,Single Father,Rent,8095,Private Job,Self-employed,14937,33128,1,4,35133,Hostel,0,4.5,0,Urban,no
211183,3,Both Alive,Rent,2568,Govt Job,Self-employed,15977,31817,1,1,93773,DayScholar,563,4.9,0,Rural,no
759259,4,Both Alive,Own,0,Business,Contract,177369,46753,1,3,82565,DayScholar,4537,2.29,0,Rural,no
637906,2,Single Mother,Own,0,Agriculture,Self-employed,66704,17221,0,2,54827,Hostel,0,2.26,63871,Rural,no
905552,1,Single Mother,Rent,4170,Private Job,Self-employed,0,5886,1,3,109508,DayScholar,4006,2.91,0,Rural,yes
719343,4,Both Alive,Own,0,Foreign,Self-employed,0,40685,1,4,57524,Hostel,0,3.16,0,Rural,yes
741226,2,Single Mother,Rent,5006,Private Job,Contract,18361,6877,1,3,143286,Hostel,0,2.34,0,Rural,yes
715569,2,Single Mother,Own,0,Foreign,Self-employed,0,13754,1,1,27911,Hostel,0,3.39,0,Urban,no
339242,1,Both Alive,Own,0,Govt Job,Self-employed,0,24288,0,1,67777,DayScholar,3763,3.61,0,Rural,yes
309937,1,Both Alive,Rent,7090,Foreign,Permanent,57469,30315,1,4,26288,Hostel,0,2.38,0,Rural,yes
435242,4,Single Father,Own,0,Govt Job,Permanent,147691,48546,1,1,62635,DayScholar,1512,3.74,0,Rural,no
982667,2,Single Mother,Own,0,Agriculture,Contract,160488,47941,1,2,42769,Hostel,0,2.44,28096,Urban,no
401091,3,Single Mother,Own,0,Other,Contract,0,7882,0,2,39709,DayScholar,4738,3.37,0,Urban,no
328760,1,Single Father,Rent,7373,Govt Job,Self-employed,0,26624,0,3,16398,Hostel,0,1.34,0,Urban,yes
717731,1,Both Alive,Rent,4867,Daily Wage,Permanent,127431,47984,1,4,77516,DayScholar,4089,4.88,0,Urban,yes
955677,3,Both Alive,Own,0,Private Job,Contract,0,34349,0,4,130113,Hostel,0,4.8,0,Rural,no
551188,2,Single Mother,Rent,2349,Business,Self-employed,120518,20220,0,3,61947,DayScholar,4020,2.37,0,Urban,no
743512,1,Single Father,Own,0,Agriculture,Permanent,69099,4581,1,4,15747,DayScholar,3179,0.81,33100,Urban,yes
530475,3,Single Mother,Own,0,Foreign,Permanent,0,37773,1,1,11976,Hostel,0,0.29,0,Rural,yes
279056,2,Single Mother,Own,0,Other,Permanent,0,42098,0,4,25472,DayScholar,1970,1.26,0,Rural,no
879709,3,Both Alive,Own,0,Business,Permanent,138920,6918,0,4,86475,Hostel,0,4.94,0,Urban,yes
368577,1,Both Alive,Rent,2117,Other,Contract,156343,43824,1,1,146441,DayScholar,4595,2.42,0,Urban,yes
308457,3,Single Father,Own,0,Agriculture,Permanent,162835,11573,1,3,129571,DayScholar,708,0.77,82018,Rural,yes
126494,2,Single Mother,Rent,4999,Daily Wage,Self-employed,14576,35666,0,2,53803,DayScholar,3578,3.6,0,Urban,yes
349617,2,Single Mother,Own,0,Daily Wage,Permanent,47080,46732,0,3,39870,Hostel,0,2.31,0,Rural,no
501332,3,Both Alive,Own,0,Foreign,Self-employed,114861,28602,1,4,136061,Hostel,0,3.61,0,Rural,no
980557,4,Single Father,Rent,6193,Private Job,Self-employed,61641,39319,0,3,135319,DayScholar,1867,3.5,0,Rural,yes
790784,4,Single Mother,Rent,6205,Private Job,Self-employed,0,13788,1,3,59406,Hostel,0,3.46,0,Urban,yes
670408,3,Single Father,Rent,3941,Foreign,Permanent,0,13983,1,4,39840,Hostel,0,4.28,0,Rural,yes
944561,2,Single Father,Rent,6623,Daily Wage,Self-employed,0,47157,0,1,48731,Hostel,0,0.41,0,Urban,no
999626,1,Single Mother,Rent,6897,Govt Job,Contract,0,40484,0,2,61530,Hostel,0,0.66,0,Urban,yes
669329,2,Single Father,Rent,4335,Private Job,Permanent,109430,29464,1,3,107052,DayScholar,920,1.38,0,Urban,yes
516711,2,Single Father,Own,0,Agriculture,Permanent,0,37642,0,2,12733,DayScholar,2684,3.73,42306,Rural,yes
66184,3,Both Alive,Own,0,Foreign,Self-employed,0,44091,1,1,71646,Hostel,0,2.43,0,Rural,yes
61726,1,Single Mother,Own,0,Govt Job,Permanent,114347,33461,1,1,146019,DayScholar,2264,3.45,0,Rural,yes
413854,4,Single Mother,Rent,2820,Govt Job,Permanent,88953,43915,0,2,116165,Hostel,0,2.01,0,Rural,no
567240,1,Single Mother,Rent,3051,Agriculture,Permanent,199822,44616,0,4,23104,Hostel,0,3.69,49828,Rural,no
931672,4,Single Father,Own,0,Foreign,Permanent,0,29128,0,4,116998,DayScholar,2183,1.81,0,Rural,no
518504,2,Single Father,Own,0,Agriculture,Contract,0,44630,0,1,77082,DayScholar,2246,1.95,88612,Rural,yes
497696,4,Both Alive,Own,0,Foreign,Permanent,0,15025,0,2,86191,DayScholar,1598,0.74,0,Urban,yes
142754,1,Single Father,Rent,8720,Other,Self-employed,151937,28786,1,1,41796,DayScholar,909,1.28,0,Rural,yes
281803,2,Single Father,Own,0,Private Job,Permanent,69315,37342,0,1,54194,DayScholar,1978,2.35,0,Rural,no
669456,1,Single Father,Rent,9028,Business,Permanent,0,20421,1,4,123429,DayScholar,4030,1.1,0,Rural,no
813203,1,Both Alive,Rent,7142,Business,Self-employed,0,28243,0,4,22866,DayScholar,1746,3.22,0,Urban,no
644149,3,Both Alive,Own,0,Foreign,Self-employed,0,45618,1,4,35996,Hostel,0,0.92,0,Rural,no
327659,1,Single Father,Rent,3632,Foreign,Permanent,0,42211,1,2,67783,Hostel,0,4.01,0,Rural,yes
117536,2,Both Alive,Own,0,Other,Contract,18202,38818,1,4,39919,DayScholar,796,0.21,0,Rural,no
849672,3,Single Mother,Own,0,Govt Job,Permanent,182550,30192,0,1,101225,Hostel,0,3.19,0,Urban,yes
487286,1,Single Father,Rent,7704,Business,Permanent,0,9829,0,4,140860,Hostel,0,3.97,0,Rural,yes
139458,1,Both Alive,Rent,3996,Private Job,Permanent,80277,1153,0,1,35515,Hostel,0,1.78,0,Urban,yes
932879,4,Single Mother,Own,0,Business,Contract,0,28024,1,1,27050,DayScholar,1607,2.14,0,Urban,no
164991,3,Single Mother,Own,0,Daily Wage,Permanent,19948,27030,0,4,58207,DayScholar,832,1.18,0,Urban,no
247079,1,Single Mother,Own,0,Foreign,Self-employed,0,22852,0,4,100048,DayScholar,2386,4.45,0,Rural,no
969394,4,Single Father,Own,0,Business,Self-employed,117228,44407,1,1,132620,DayScholar,1786,4.39,0,Urban,no
364456,2,Single Father,Rent,4569,Private Job,Permanent,0,48800,1,2,95025,Hostel,0,1.82,0,Urban,no
528356,2,Single Mother,Rent,6404,Business,Permanent,0,47982,0,1,11975,DayScholar,3402,4.75,0,Rural,no
979324,1,Single Mother,Own,0,Business,Permanent,152303,7352,1,4,86439,Hostel,0,1.5,0,Urban,no
466106,4,Single Mother,Rent,2985,Daily Wage,Permanent,17998,29162,0,1,105072,Hostel,0,1.91,0,Rural,no
707494,2,Both Alive,Own,0,Daily Wage,Self-employed,82050,40201,1,2,91849,DayScholar,3425,3.59,0,Urban,no
939629,4,Both Alive,Rent,4583,Govt Job,Self-employed,0,46121,1,4,110837,DayScholar,956,1.91,0,Rural,yes
691902,3,Single Father,Rent,9976,Other,Permanent,50643,11961,0,4,145674,DayScholar,2887,2.91,0,Urban,yes
116284,3,Both Alive,Rent,7251,Other,Permanent,0,8777,0,2,60394,DayScholar,4574,4.41,0,Urban,no
557226,4,Both Alive,Own,0,Foreign,Self-employed,28981,35000,1,1,50741,DayScholar,2024,0.53,0,Urban,no
673842,3,Single Mother,Own,0,Private Job,Permanent,0,49163,1,3,148042,Hostel,0,3.46,0,Urban,no
643969,3,Single Mother,Own,0,Agriculture,Self-employed,89121,23985,0,2,126882,DayScholar,1871,4.84,74239,Urban,no
483165,4,Single Father,Rent,7479,Other,Self-employed,0,47421,1,3,41694,DayScholar,2686,0.18,0,Rural,no
722436,4,Both Alive,Own,0,Other,Contract,40131,12715,0,1,12862,DayScholar,4062,1.22,0,Rural,no
330918,4,Both Alive,Rent,5997,Business,Self-employed,117822,43277,0,3,98706,DayScholar,1089,1.42,0,Urban,no
224801,3,Single Mother,Rent,8365,Business,Contract,0,1695,0,4,61510,DayScholar,723,3.14,0,Rural,no
885434,3,Single Mother,Own,0,Agriculture,Permanent,0,35120,0,3,96746,Hostel,0,1.34,77441,Rural,yes
743794,2,Single Mother,Own,0,Other,Permanent,0,36438,0,2,20303,Hostel,0,3.25,0,Urban,no
720670,1,Single Father,Rent,2003,Business,Permanent,0,25571,1,3,64898,Hostel,0,1.05,0,Rural,no
806461,2,Both Alive,Rent,5976,Foreign,Self-employed,0,19812,1,2,108963,DayScholar,1724,0.18,0,Rural,yes
522860,4,Single Father,Rent,9677,Business,Contract,0,11321,1,4,149417,DayScholar,1189,3.5,0,Urban,yes
157247,2,Single Mother,Own,0,Business,Contract,0,43741,0,3,17620,Hostel,0,1.87,0,Urban,yes
666927,3,Single Mother,Rent,9040,Daily Wage,Self-employed,16707,21983,1,2,131712,DayScholar,4698,3.37,0,Urban,no
371934,2,Single Mother,Own,0,Agriculture,Self-employed,149137,4503,0,1,139608,DayScholar,4515,4.73,43236,Urban,yes
508209,2,Both Alive,Own,0,Agriculture,Contract,190632,11045,1,1,136650,Hostel,0,1.72,55394,Urban,no
778842,4,Single Mother,Own,0,Private Job,Self-employed,91963,21111,0,2,81615,DayScholar,4501,2.67,0,Rural,yes
738292,3,Single Father,Rent,9056,Foreign,Permanent,0,42629,1,1,143664,Hostel,0,2.91,0,Urban,no
508141,3,Single Father,Own,0,Business,Permanent,29319,29265,1,3,121315,DayScholar,3260,2.26,0,Urban,no
618523,1,Both Alive,Rent,8271,Business,Contract,151557,11919,1,2,133569,Hostel,0,1.01,0,Rural,yes
143012,4,Single Mother,Rent,7426,Foreign,Permanent,173265,45358,1,2,45568,DayScholar,2491,2.85,0,Urban,no
119431,3,Both Alive,Rent,4253,Other,Self-employed,0,49258,1,2,82431,Hostel,0,1.01,0,Rural,yes
214277,1,Both Alive,Rent,7059,Agriculture,Contract,11043,35436,0,4,110431,Hostel,0,4.29,51783,Urban,no
327974,4,Single Father,Rent,7275,Daily Wage,Contract,0,20696,1,4,107066,DayScholar,3591,0.08,0,Urban,yes
811239,3,Single Mother,Rent,3850,Agriculture,Permanent,72324,24553,0,4,59545,Hostel,0,2.6,48461,Urban,yes
449901,3,Single Mother,Rent,7063,Other,Contract,0,28845,0,3,79376,DayScholar,2368,3.51,0,Urban,no
168913,3,Single Father,Own,0,Govt Job,Self-employed,48959,13285,1,4,70472,DayScholar,2684,1.75,0,Rural,yes
564643,1,Single Father,Own,0,Business,Permanent,0,5162,1,1,13013,Hostel,0,4.65,0,Urban,no
625421,3,Single Mother,Own,0,Business,Permanent,65414,10656,0,2,29700,Hostel,0,4.96,0,Rural,no
402071,3,Single Father,Rent,3483,Other,Contract,0,20497,0,2,10556,Hostel,0,0.51,0,Rural,yes
529818,4,Single Mother,Own,0,Govt Job,Permanent,0,29868,0,3,129156,Hostel,0,2.17,0,Urban,yes
983130,1,Single Mother,Own,0,Govt Job,Permanent,22511,7957,1,1,71805,Hostel,0,0.35,0,Urban,yes
224276,1,Both Alive,Rent,2124,Foreign,Permanent,0,48936,0,2,44282,DayScholar,1326,1.71,0,Urban,yes
410678,2,Single Mother,Own,0,Foreign,Permanent,163462,26228,1,2,78499,Hostel,0,0.06,0,Urban,no
646331,3,Single Father,Rent,5147,Foreign,Self-employed,0,43433,1,4,48064,DayScholar,3160,4.54,0,Rural,no
838438,2,Single Mother,Rent,9548,Other,Permanent,103392,40998,1,1,40851,DayScholar,1380,3.34,0,Urban,no
534539,2,Single Mother,Rent,2029,Other,Permanent,0,46400,1,4,114410,DayScholar,3389,4.66,0,Urban,no
504440,1,Both Alive,Rent,8573,Private Job,Permanent,88155,2488,1,4,149356,DayScholar,3865,4.73,0,Rural,yes
246346,3,Single Father,Rent,5380,Other,Contract,183197,41562,1,4,131585,DayScholar,3716,3.6,0,Urban,yes
300270,2,Single Father,Own,0,Foreign,Contract,156638,3002,1,3,139660,Hostel,0,2.87,0,Rural,no
998844,3,Single Father,Rent,8683,Private Job,Contract,0,36432,1,4,61358,Hostel,0,0.65,0,Rural,no
115932,1,Single Father,Rent,8753,Private Job,Contract,145734,23349,1,3,113601,Hostel,0,4.99,0,Rural,yes
804524,1,Single Mother,Own,0,Daily Wage,Self-employed,0,32334,0,4,86245,DayScholar,4665,2.9,0,Rural,no
92369,3,Both Alive,Own,0,Other,Contract,0,37880,0,1,51664,Hostel,0,4.03,0,Urban,no
523291,3,Single Father,Own,0,Private Job,Contract,33686,49769,1,1,22695,Hostel,0,0.47,0,Rural,yes
348679,1,Single Father,Own,0,Daily Wage,Contract,0,22395,1,2,20257,Hostel,0,4.73,0,Rural,yes
681434,2,Single Mother,Rent,5841,Private Job,Permanent,132786,47885,1,3,17835,Hostel,0,1.12,0,Rural,no
359927,2,Single Mother,Rent,6579,Other,Contract,0,4399,1,1,93365,Hostel,0,3.7,0,Rural,yes
677304,4,Single Father,Own,0,Daily Wage,Permanent,0,3386,0,2,92869,Hostel,0,5,0,Urban,yes
290704,1,Single Mother,Own,0,Private Job,Permanent,0,18219,1,2,27677,Hostel,0,0.97,0,Rural,yes
940402,1,Both Alive,Rent,4555,Govt Job,Self-employed,0,26016,1,1,11897,DayScholar,1600,2.16,0,Rural,yes
589090,3,Both Alive,Own,0,Govt Job,Contract,0,2865,0,3,12839,Hostel,0,1.01,0,Urban,no
680480,1,Both Alive,Rent,2299,Govt Job,Contract,163955,47606,1,1,12174,Hostel,0,2.22,0,Rural,yes
335633,4,Single Father,Rent,4601,Daily Wage,Permanent,0,20654,1,4,75526,Hostel,0,2.59,0,Urban,yes
579290,1,Single Father,Rent,5434,Daily Wage,Permanent,115156,9259,1,2,97194,DayScholar,1692,3.9,0,Rural,yes
676181,2,Both Alive,Rent,6244,Other,Self-employed,0,44907,1,2,138953,Hostel,0,0.42,0,Urban,no
597844,2,Both Alive,Rent,8619,Govt Job,Self-employed,0,6980,1,2,134796,DayScholar,3499,4.32,0,Rural,no
165075,2,Single Mother,Rent,3966,Other,Contract,0,32728,1,2,142563,Hostel,0,1.89,0,Rural,yes
275585,2,Single Father,Own,0,Daily Wage,Contract,84305,11029,0,4,115476,DayScholar,2898,0.73,0,Rural,yes
869374,4,Single Mother,Rent,9902,Foreign,Permanent,176785,384,0,4,131687,DayScholar,3357,2.49,0,Urban,no
323669,2,Single Mother,Rent,9449,Daily Wage,Self-employed,58094,21326,1,3,96776,DayScholar,4945,3.84,0,Urban,yes
669824,4,Single Father,Own,0,Other,Permanent,0,27411,0,1,13180,Hostel,0,3.75,0,Rural,yes
964077,4,Single Mother,Own,0,Private Job,Contract,62628,31440,1,2,137026,DayScholar,1871,2.12,0,Rural,yes
367569,4,Both Alive,Own,0,Govt Job,Permanent,63174,45063,0,3,133849,Hostel,0,3.72,0,Rural,yes
554552,4,Single Father,Own,0,Foreign,Permanent,0,24343,0,4,24891,Hostel,0,3.07,0,Rural,no
860566,3,Single Mother,Rent,2680,Private Job,Self-employed,144473,35864,1,4,50132,Hostel,0,0.1,0,Rural,no
